Sensitivity/LI ASM Replacement Cost Multiplier (*),Sensitivity/LI ASM Capital Cost Multiplier (*),Sensitivity/PV Replacement Cost Multiplier (*),Sensitivity/PV Capital Cost Multiplier (*),Sensitivity/NominalDiscountRate (%),Sensitivity/System Fixed O&M Cost ($),Sensitivity/Capacity Shortage (%),Architecture/PV (kW),Architecture/LI ASM (#),Cost/LCOE ($/kWh),Cost/Operating cost ($/yr),Cost/CAPEX ($),System/Clipped Energy (%)
100,$100,"$1,000","$1,000",3,$0,0,10125.42188,67478,$0.108,184209.6,1.69E+07,43.95562
150,$150,"$1,000","$1,000",3,$0,0,10125.42188,67478,$0.136,276314.4,2.02E+07,43.95562
200,$200,"$1,000","$1,000",3,$0,0,10125.42188,67478,$0.164,368419.2,2.36E+07,43.95562
50,$50,"$1,000","$1,000",3,$0,0,10125.42188,67478,$0.080,92104.79,1.35E+07,43.95562
100,$100,"$1,000","$1,000",3,"$20,000",0,10125.42188,67478,$0.111,204209.6,1.69E+07,43.95562
150,$150,"$1,000","$1,000",3,"$20,000",0,10125.42188,67478,$0.139,296314.4,2.02E+07,43.95562
200,$200,"$1,000","$1,000",3,"$20,000",0,10125.42188,67478,$0.167,388419.2,2.36E+07,43.95562
50,$50,"$1,000","$1,000",3,"$20,000",0,10125.42188,67478,$0.083,112104.8,1.35E+07,43.95562
100,$100,"$1,000","$1,000",6,$0,0,10125.42188,67478,$0.144,185981.4,1.69E+07,43.95562
150,$150,"$1,000","$1,000",6,$0,0,10125.42188,67478,$0.179,278972.1,2.02E+07,43.95562
200,$200,"$1,000","$1,000",6,$0,0,10125.42188,67478,$0.214,371962.8,2.36E+07,43.95562
50,$50,"$1,000","$1,000",6,$0,0,10125.42188,67478,$0.109,92990.71,1.35E+07,43.95562
100,$100,"$1,000","$1,000",6,"$20,000",0,10125.42188,67478,$0.146,205981.4,1.69E+07,43.95562
150,$150,"$1,000","$1,000",6,"$20,000",0,10125.42188,67478,$0.181,298972.1,2.02E+07,43.95562
200,$200,"$1,000","$1,000",6,"$20,000",0,10125.42188,67478,$0.216,391962.8,2.36E+07,43.95562
50,$50,"$1,000","$1,000",6,"$20,000",0,10125.42188,67478,$0.111,112990.7,1.35E+07,43.95562
100,$100,"$1,000","$1,000",3,$0,1,12000.5,40395,$0.096,110275.1,1.60E+07,53.04512
150,$150,"$1,000","$1,000",3,$0,1,12000.5,40395,$0.113,165412.7,1.81E+07,53.04512
200,$200,"$1,000","$1,000",3,$0,1,12000.5,40395,$0.130,220550.3,2.01E+07,53.04512
50,$50,"$1,000","$1,000",3,$0,1,12000.5,40395,$0.079,55137.57,1.40E+07,53.04512
